"candidate_id","contribution_year","contribution_max","contribution_min","contribution_avg","total","donation_count","donor_count"
127,2022,5000,25,1257.9722222222222,45287,36,36
128,2018,11000,1,326.86685338865755,472649.4699999988,1446,1446
128,2019,7500,1,674.593989361702,253647.33999999997,376,376
128,2020,7500,3.75,694.9623076923075,135517.64999999997,195,195
128,2021,11800,3.75,2173.984375,139135,64,64
128,2022,5000,25,1076.4303797468353,170076,158,158
132,2017,2000,5,146.22421985815603,41235.23,282,282
132,2018,11000,1,126.67261911896917,422706.5300000001,3337,3337
132,2019,5000,1,121.71979643765901,47835.87999999999,393,393
132,2020,7500,1,128.01236842105263,48644.7,380,380
132,2021,4000,1,237.95685314685315,68055.66,286,286
133,2017,5000,25,417.7391304347826,144120,345,345
133,2018,11000,35,869.123076923077,237270.6,273,273
133,2019,10000,25,704.2494321766562,223247.07,317,317
133,2020,7000,25,1090,79570,73,73
133,2021,7500,25,1106.4285714285713,30980,28,28
134,2017,3500,50,225.46753246753246,17361,77,77
134,2018,11000,5,487.032967032967,44320,91,91
134,2019,3500,125,1194.4444444444443,10750,9,9
134,2020,7500,25,470.9313725490196,48035,102,102
134,2021,7500,0.04,223.75060810810808,33115.09,148,148
137,2017,5000,100,1026.7441860465117,88300,86,86
137,2018,8000,50,1116.0576923076924,232140,208,208
137,2019,16800,5,1186.2322222222222,341634.88,288,288
137,2020,9800,18,1216.01652892562,147138,121,121
137,2021,19300,25,1101.2740869565218,253293.04,230,230
137,2022,11800,250,2753.846153846154,35800,13,13
139,2018,11000,0.04,59.17596431605779,278600.44000000006,4708,4708
139,2019,4647.03,1,92.10051383399212,23301.430000000008,253,253
139,2020,7500,1,72.79000509683988,142813.98999999985,1962,1962
139,2021,5000,1,134.5545368171022,56647.46000000002,421,421
140,2017,5000,36,879.6912,329884.2,375,375
140,2018,15500,25,1206.9473684210527,343980,285,285
140,2019,14500,50,1003.1155405405406,296922.2,296,296
140,2020,7500,25,1065.698689956332,244045,229,229
140,2021,7500,100,997.5409836065573,182550,183,183
140,2022,5000,4.99,1751.2475,7004.99,4,4
141,2017,2500,2.52,362.18969696969697,23904.52,66,66
141,2018,11000,15,1093.6333333333332,324809.1,297,297
141,2019,5000,10,1828.5,18285,10,10
142,2017,2000,500,1250,2500,2,2
142,2018,11000,500,5400,27000,5,5
142,2019,3000,250,925,9250,10,10
142,2020,11800,500,3860,19300,5,5
142,2021,2000,2000,2000,4000,2,2
144,2017,3500,100,529.3388429752066,64050,121,121
144,2018,5500,50,799.6402877697842,111150,139,139
144,2019,7500,100,961.9791666666666,92350,96,96
144,2020,4500,100,991.9642857142857,55550,56,56
144,2021,5000,50,998.8636363636364,43950,44,44
144,2022,1000,1000,1000,2000,2,2
145,2017,10000,5,803.7648387096774,249167.1,310,310
145,2018,11000,5,793.2211452810179,748007.5399999999,943,943
145,2019,11000,2,1045.2799871794873,815318.39,780,780
145,2020,11800,5,1351.6496794871796,421714.7,312,312
145,2021,11800,50,1369.3029490616623,510750,373,373
145,2022,10000,85,4718.888888888889,42470,9,9
149,2017,10000,50,1199.7477586206896,69585.37,58,58
149,2018,18000,10,2164.7532110091743,471916.2,218,218
149,2019,1650.97,50,777.3633333333333,2332.09,3,3
149,2020,1851.57,25,617.5285714285714,4322.7,7,7
149,2021,2907.04,189.9,1198.98,3596.94,3,3
149,2022,2187.45,2187.45,2187.45,2187.45,1,1
150,2017,3500,10,579.9266379310345,134542.98,232,232
150,2018,8000,10,587.5568181818181,155115,264,264
150,2019,3600,10,469.8052995391705,101947.75,217,217
150,2020,4000,5,481.34375,77015,160,160
150,2021,3500,100,629.3603448275862,73005.8,116,116
151,2018,3500,5,146.78722090261283,61797.42,421,421
151,2019,1500,0.1,238.83818181818182,18390.54,77,77
151,2020,1000,10,239.91228070175438,13675,57,57
151,2021,2500,20,369.5238095238095,15520,42,42
152,2019,5000,25,341.8961403508772,77952.32,228,228
152,2020,5000,5,587.881012658228,185770.40000000002,316,316
152,2021,5000,1,547.86,54786,100,100
152,2022,4700,1,770.9387755102041,37776,49,49
153,2017,3000,25,448.22222222222223,100850,225,225
153,2018,5000,10,563.7650251256281,112189.23999999999,199,199
153,2019,4400,20,689.5322033898304,122047.2,177,177
153,2020,75000,1,1043.1572506082725,428737.63,411,411
153,2021,4700,5,793.2322839506173,128503.63,162,162
153,2022,2500,10,307.3333333333333,3688,12,12
154,2017,175,1,56.95522388059702,3816,67,67
154,2018,2000,0.5,251.27678899082568,27389.17,109,109
154,2019,2500,10,135.58064516129033,21015,155,155
154,2020,1000,1,65.85255360623782,33782.36,513,513
154,2021,4700,10,305.71929411764705,25986.14,85,85
154,2022,2000,21.08,198.81499999999997,5964.449999999999,30,30
155,2017,200,10,40.54716981132076,4298,106,106
156,2017,1000,5,192.09677419354838,5955,31,31
158,2017,44614,2,209.58281553398058,64761.09,309,309
158,2021,11800,5,195.16613821138213,96021.74,492,492
158,2022,7500,10,612.8947368421053,23290,38,38
159,2018,21100,3,1768.8670493066256,2295989.43,1298,1298
159,2019,22600,5,1144.8538268156424,409857.67,358,358
159,2020,22600,5,2329.858044164038,738565,317,317
159,2021,69700,1,2867.3957871674525,18322659.08000002,6390,6390
159,2022,69700,1,4272.457788369876,4481808.22,1049,1049
160,2017,11000,1,540.5356265356265,219998,407,407
160,2018,15000,2,853.2004405286343,387353,454,454
