Candidate_ID,Contribution_Year,Contribution_Max,Contribution_Min,Contribution_Avg,Total,Donation_Count,Donor_Count
71,2017,4400,25,329.2977099,43138,131,122
71,2018,4400,25,571.7210526,108627,190,171
71,2019,4700,1,359.5321637,61480,171,139
71,2020,3700,25,710.0558974,27692.18,39,38
72,2016,6800,50,674.875,80985,120,111
72,2017,4400,1000,2700,5400,2,2
72,2018,4400,50,558.4745,78186.43,140,122
72,2019,1000,100,585.7142857,4100,7,7
72,2020,4700,5,377.7614679,41176,109,95
73,2016,4400,10,573.5,126170,220,198
73,2017,4950,2,439.6103542,161337,367,338
73,2018,4400,25,1101.904123,125617.07,114,100
73,2019,5979.1,20,908.5692373,107211.17,118,90
73,2020,4700,150,1100,5500,5,5
74,2016,4400,10,378.6438144,110185.35,291,249
74,2017,2000,25,693.2692308,18025,26,25
74,2018,2000,25,338.961039,26100,77,76
74,2019,2000,5,186.4848485,6154,33,32
74,2020,2500,3,236.7,26037,110,86
75,2016,5000,20,496.8795455,218627,440,331
75,2017,4400,25,459.7428571,80455,175,152
75,2018,3000,25,474.7326984,89724.48,189,161
75,2019,5000,20,388.4963325,158895,409,306
75,2020,4700,40,490.2063492,61766,126,123
76,2017,2400,5,264.8445333,19863.34,75,70
76,2018,10000,20,464.5376344,43202,93,85
76,2019,4100,5,293.6708861,23200,79,74
76,2020,4700,24.01,1130.159767,48596.87,43,38
77,2016,5000,10,370.5179283,93000,251,234
77,2017,4400,5,611.458125,19566.66,32,30
77,2018,10000,5,337.0717683,110559.54,328,275
77,2019,4700,1,357.0808081,70702,198,175
77,2020,4700,1,907.0350877,51701,57,54
78,2016,4950,25,445.9125,178365,400,325
78,2017,4950,1.25,476.0985577,198057,416,347
78,2018,4950,10,527.8225191,276579,524,407
78,2019,10000,3,567.6193182,299703,528,405
78,2020,35000,5,622.7672727,349372.44,561,403
79,2017,4400,5,166.6878086,66175.06,397,383
79,2018,4400,5,176.6540807,118181.58,669,522
79,2019,4400,3,108.8098106,28725.79,264,203
79,2020,5000,5,194.2427184,40014,206,163
80,2016,4400,50,802.0408163,39300,49,48
80,2017,3000,100,725.5102041,35550,49,47
80,2018,4400,50,563.5076563,72128.98,128,120
80,2019,4700,15,430.6111111,54257,126,118
80,2020,2700,5,679.7087379,70010,103,94
81,2016,4700,1,430.9803922,153860,357,297
81,2017,3000,25,457.9295154,103950,227,178
81,2018,5000,10,566.5308911,114439.24,202,179
81,2019,4400,20,689.5322034,122047.2,177,155
81,2020,75000,1,1059.907728,429262.63,405,337
82,2016,5300,10,584.7292857,40931.05,70,65
82,2017,4400,125,677.2727273,14900,22,22
82,2018,4400,59.72,904.0637037,24409.72,27,26
82,2019,5000,25,980.7636508,61788.11,63,58
82,2020,4700,5,794.4505495,72295,91,80
83,2016,4400,50,1102.613636,48515,44,42
83,2017,1000,200,416.6666667,5000,12,12
83,2018,3400,150,950,8550,9,9
83,2019,1000,1000,1000,2000,2,2
83,2020,3400,3400,3400,3400,1,1
